feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium.prausnitzii	dysbiosis	dysbiosis	-2.64794012545402	0.0746540772307975	1595	1534	1.54498022338528e-203	4.03239838303559e-201
Bacteroides.uniformis	dysbiosis	dysbiosis	-3.50369325883839	0.119953258244892	1595	1391	1.58949759230956e-150	2.07429435796398e-148
Subdoligranulum.unclassified	dysbiosis	dysbiosis	-1.52540172129512	0.0618874114691275	1595	1546	6.96263395951839e-114	6.057491544781e-112
Alistipes.putredinis	dysbiosis	dysbiosis	-3.44452303940573	0.141902465568088	1595	940	5.4432876608269e-111	3.55174519868955e-109
Ruminococcus.obeum	dysbiosis	dysbiosis	-1.94697960164566	0.0836261373378636	1595	1346	2.02372125164096e-103	1.05638249335658e-101
Coprococcus.comes	dysbiosis	dysbiosis	-2.14516119348421	0.101471949471283	1595	848	1.25936985391823e-87	5.4782588645443e-86
Eubacterium.rectale	dysbiosis	dysbiosis	-2.51569165523931	0.123796042165701	1595	1318	8.31710503619503e-82	3.10109202063843e-80
Alistipes.onderdonkii	dysbiosis	dysbiosis	-2.76018848890634	0.139540062647646	1595	896	4.86859506084912e-78	1.58837913860203e-76
Parabacteroides.merdae	dysbiosis	dysbiosis	-2.71528593222327	0.14638776185741	1595	911	1.09598617321595e-69	3.17835990232624e-68
Clostridium.clostridioforme	dysbiosis	dysbiosis	1.89734609960229	0.102459822748663	1595	518	1.75055974111776e-69	4.56896092431736e-68
Bacteroides.ovatus	dysbiosis	dysbiosis	-2.39185328490471	0.129464167100738	1595	1319	3.37152512623069e-69	7.99970961769281e-68
Bacteroides.vulgatus	dysbiosis	dysbiosis	-2.27786261383726	0.127805183671149	1595	1455	6.29071726270356e-65	1.36823100463803e-63
Eubacterium.eligens	dysbiosis	dysbiosis	-2.31970965699354	0.131322046124395	1595	1015	6.64476715690596e-64	1.33406479073266e-62
Odoribacter.splanchnicus	dysbiosis	dysbiosis	-0.780282200359065	0.0449724550780899	1595	662	6.77800230463343e-62	1.26361328679238e-60
Bacteroides.caccae	dysbiosis	dysbiosis	-2.6266559344351	0.155451071909004	1595	1072	4.86055595748454e-59	8.4573673660231e-58
Alistipes.shahii	dysbiosis	dysbiosis	-2.09210611292988	0.129150765243539	1595	757	9.59348903225317e-55	1.5649378983863e-53
Oscillibacter.unclassified	dysbiosis	dysbiosis	-1.73543876671167	0.109418481456128	1595	1296	1.04209958251895e-52	1.5999293590438e-51
Collinsella.aerofaciens	dysbiosis	dysbiosis	-1.63753249544182	0.103636242817895	1595	835	2.36841699892252e-52	3.43420464843765e-51
Ruminococcus.gnavus	dysbiosis	dysbiosis	1.80497028765181	0.117060935704465	1595	970	4.2418509837559e-50	5.826963719791e-49
Bilophila.unclassified	dysbiosis	dysbiosis	-1.64255295493077	0.108509980573894	1595	885	1.83900594962832e-48	2.39990276426496e-47
Escherichia.coli	dysbiosis	dysbiosis	1.61497839649736	0.109748039744157	1595	975	4.72990982627892e-46	5.87860221266094e-45
Bacteroides.stercoris	dysbiosis	dysbiosis	-2.68734644399195	0.18597335673957	1595	1063	1.45561028647088e-44	1.72688311258591e-43
Coprobacillus.unclassified	dysbiosis	dysbiosis	1.20543070054283	0.084157648317932	1595	415	7.35894785007958e-44	8.35080603856856e-43
Alistipes.finegoldii	dysbiosis	dysbiosis	-1.64431571343291	0.115911603337508	1595	788	4.22203416555492e-43	4.59146215504098e-42
Lachnospiraceae.bacterium.3.1.46FAA	dysbiosis	dysbiosis	-1.50574073737449	0.107149484339061	1595	992	2.26536826994847e-42	2.3650444738262e-41
Eubacterium.ventriosum	dysbiosis	dysbiosis	-1.63726651723974	0.118836284291656	1595	627	7.0053896986199e-41	7.03233350515305e-40
Bacteroidales.bacterium.ph8	dysbiosis	dysbiosis	-1.42288727530324	0.105345889266063	1595	472	1.9445302106092e-39	1.87971253692222e-38
Dorea.longicatena	dysbiosis	dysbiosis	-1.47111006832785	0.113310249913317	1595	1063	1.04160946249237e-36	9.7092882039467e-36
Alistipes.putredinis	diagnosis	UC	-4.82392684751445	0.378215546188265	1595	940	1.51948510335207e-35	1.36753659301687e-34
Roseburia.inulinivorans	dysbiosis	dysbiosis	-1.44143782198167	0.121603407271577	1595	1074	4.03038900815739e-31	3.50643843709693e-30
Eubacterium.hallii	dysbiosis	dysbiosis	-1.2473920489165	0.106611911378951	1595	923	2.14599474333484e-30	1.80678912261418e-29
Parabacteroides.distasonis	dysbiosis	dysbiosis	-1.66564349625158	0.144484308181954	1595	935	1.37322117120276e-29	1.12003351776225e-28
Klebsiella.pneumoniae	dysbiosis	dysbiosis	0.827619709409539	0.0726810322892432	1595	171	6.1885732529155e-29	4.89459884548771e-28
Bacteroides.cellulosilyticus	dysbiosis	dysbiosis	-1.52756410868021	0.134400264917465	1595	526	7.75039255020601e-29	5.94956604589343e-28
Clostridium.nexile	dysbiosis	dysbiosis	0.998072215315657	0.0880005307334961	1595	273	1.00042551010566e-28	7.46031594678792e-28
Barnesiella.intestinihominis	dysbiosis	dysbiosis	-1.50643525716975	0.132922918359461	1595	484	1.09461315703236e-28	7.93594538848463e-28
Bacteroides.xylanisolvens	dysbiosis	dysbiosis	-1.34136283156442	0.120770594761174	1595	1072	1.17425962267511e-27	8.28329085184331e-27
Eubacterium.siraeum	dysbiosis	dysbiosis	-1.62438709894864	0.147039132959561	1595	656	2.17337786045066e-27	1.49276742520427e-26
Clostridium.leptum	dysbiosis	dysbiosis	-1.13403593004099	0.105429918120175	1595	812	4.26351603647992e-26	2.85327611672118e-25
Bacteroides.thetaiotaomicron	dysbiosis	dysbiosis	-1.60316997568858	0.151806515903046	1595	1121	3.03753999719929e-25	1.98199484817254e-24
Parabacteroides.goldsteinii	diagnosis	CD	-1.96415949528381	0.190788872427296	1595	187	4.15793788112862e-24	2.64688240725505e-23
Alistipes.shahii	diagnosis	UC	-3.45019604882495	0.344228178288979	1595	757	5.70561519285046e-23	3.54563229841422e-22
Sutterella.wadsworthensis	dysbiosis	dysbiosis	-1.42294977293842	0.143974939793063	1595	432	2.13940580790988e-22	1.29856957177786e-21
Clostridium.bolteae	dysbiosis	dysbiosis	1.18550656455305	0.122751829068163	1595	1138	1.74784965029761e-21	1.03679263347199e-20
Roseburia.hominis	dysbiosis	dysbiosis	-1.2459141766159	0.130595730367654	1595	1061	5.13443378869662e-21	2.97797159744404e-20
Akkermansia.muciniphila	diagnosis	UC	-3.69476631619686	0.38784254693859	1595	578	5.82146340981594e-21	3.30304771730861e-20
Ruminococcus.lactaris	dysbiosis	dysbiosis	-1.14417144605623	0.121169899105723	1595	454	1.24485030011682e-20	6.9128920921381e-20
Alistipes.shahii	diagnosis	CD	-2.9435558597446	0.313767973333716	1595	757	2.16491193355289e-20	1.17717086386939e-19
Alistipes.onderdonkii	diagnosis	UC	-3.40273322458366	0.371918985326586	1595	896	1.70600811689055e-19	9.08710445935579e-19
