feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	dysbiosis	dysbiosis	-0.0620730367666345	0.00532135824476932	1595	1593	3.15019624387078e-30	4.17396560291381e-28
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	dysbiosis	dysbiosis	-0.212309175309679	0.0182832714862704	1595	1590	5.56528747055175e-30	4.17396560291381e-28
THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	dysbiosis	dysbiosis	-0.166447606636881	0.0147314790120702	1595	1589	1.57335699590746e-28	7.86678497953731e-27
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	dysbiosis	dysbiosis	-0.145798897649264	0.0133463196798211	1595	1592	7.71247217205948e-27	2.8921770645223e-25
PWY.7242..D.fructuronate.degradation	dysbiosis	dysbiosis	-0.252749922167785	0.0239120428619556	1595	1588	2.76687998658023e-25	8.30063995974068e-24
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	dysbiosis	dysbiosis	-0.0813513970483804	0.00784446705955731	1595	1593	1.98613441388152e-24	4.96533603470379e-23
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	dysbiosis	dysbiosis	-0.135617784772845	0.0131350996183554	1595	1592	3.10613672998017e-24	6.65600727852893e-23
PWY.5097..L.lysine.biosynthesis.VI	dysbiosis	dysbiosis	0.0377511231766046	0.00380214144300079	1595	1592	1.3921530455129e-22	2.6102869603367e-21
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	dysbiosis	dysbiosis	0.036683573249925	0.00377774827207284	1595	1594	1.07419712698813e-21	1.79032854498022e-20
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	dysbiosis	dysbiosis	0.0347070977515871	0.00364355580382738	1595	1594	5.86659571482803e-21	8.79989357224205e-20
PWY.6168..flavin.biosynthesis.III..fungi.	dysbiosis	dysbiosis	-0.0860825018504827	0.00906664793095414	1595	1593	7.79162315685331e-21	1.06249406684363e-19
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	dysbiosis	dysbiosis	-0.0585279146476007	0.00619693434386885	1595	1593	1.22306840687092e-20	1.52883550858866e-19
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	dysbiosis	dysbiosis	0.0357805523483476	0.00380600228445434	1595	1594	1.81213350730673e-20	2.09092327766161e-19
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	dysbiosis	dysbiosis	-0.0652237707497541	0.00714280573642593	1595	1593	1.99359123554545e-19	2.13599060951298e-18
ARO.PWY..chorismate.biosynthesis.I	dysbiosis	dysbiosis	-0.0828257857532497	0.00935857150637288	1595	1593	2.27452593439242e-18	2.27452593439242e-17
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	dysbiosis	dysbiosis	-0.0745074380633001	0.00889840998556698	1595	1591	1.21411531042866e-16	1.13823310352687e-15
PWY.2942..L.lysine.biosynthesis.III	dysbiosis	dysbiosis	0.0444059052064562	0.00530963127192832	1595	1593	1.31522747743375e-16	1.16049483302978e-15
COA.PWY..coenzyme.A.biosynthesis.I	dysbiosis	dysbiosis	-0.0580195999663599	0.00697309038872897	1595	1593	1.86014178711143e-16	1.55011815592619e-15
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	dysbiosis	dysbiosis	0.0513374971157799	0.0064830261936383	1595	1594	4.46532811658058e-15	3.52525903940572e-14
HISTSYN.PWY..L.histidine.biosynthesis	dysbiosis	dysbiosis	-0.0446641737277092	0.00580203083921013	1595	1593	2.41103197978961e-14	1.72216569984972e-13
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	dysbiosis	dysbiosis	0.0294490836435364	0.00382426284102394	1595	1593	2.36479604730701e-14	1.72216569984972e-13
TRNA.CHARGING.PWY..tRNA.charging	diagnosis	CD	-0.0568900161180564	0.00750476937687623	1595	1593	5.81434239436029e-14	3.96432435979111e-13
PWY.5686..UMP.biosynthesis	diagnosis	CD	-0.0753591031936528	0.0100316923700084	1595	1594	9.65239713782066e-14	6.29504161162217e-13
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	dysbiosis	dysbiosis	0.0289453221921608	0.0038673198479114	1595	1593	1.18207025124992e-13	7.0924215074995e-13
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	dysbiosis	dysbiosis	0.0289453221921608	0.0038673198479114	1595	1593	1.18207025124992e-13	7.0924215074995e-13
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	dysbiosis	dysbiosis	-0.0587483348888323	0.00810749269662619	1595	1593	6.65650018973494e-13	3.84028857100093e-12
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	dysbiosis	dysbiosis	0.0529584538964993	0.00777896397236498	1595	1594	1.39877461655725e-11	7.77097009198474e-11
PWY.6897..thiamin.salvage.II	dysbiosis	dysbiosis	-0.0772175205189574	0.012164052133149	1595	1593	2.83822617331973e-10	1.52047830713557e-09
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	diagnosis	CD	-0.0588627571737691	0.00948689686133352	1595	1594	6.97646733712746e-10	3.60851758816937e-09
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	dysbiosis	dysbiosis	-0.0598126383689824	0.0097735930359364	1595	1593	1.17731116295534e-09	5.88655581477669e-09
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	dysbiosis	dysbiosis	-0.0369030001890961	0.00604061685911969	1595	1593	1.25688812800168e-09	6.08171674839522e-09
PWY.3841..folate.transformations.II	dysbiosis	dysbiosis	-0.0296333941670515	0.00490059596117028	1595	1593	1.83660313265122e-09	8.60907718430259e-09
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	diagnosis	CD	-0.0551348004999745	0.00917792795774802	1595	1594	2.33307976643958e-09	1.06049080292708e-08
PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	dysbiosis	dysbiosis	0.0258746603402741	0.0043406286594689	1595	1595	3.08100850629047e-09	1.35926845865756e-08
TRNA.CHARGING.PWY..tRNA.charging	diagnosis	UC	-0.0484344670448217	0.00823332306236832	1595	1593	4.90981157446447e-09	2.10420496048477e-08
ANAEROFRUCAT.PWY..homolactic.fermentation	dysbiosis	dysbiosis	-0.103738889440275	0.0176583555080599	1595	1588	5.14636487165511e-09	2.14431869652296e-08
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	dysbiosis	dysbiosis	-0.119597715197073	0.0207894730001725	1595	1584	1.05079086999118e-08	4.25996298645073e-08
PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	diagnosis	CD	-0.059597104402651	0.0105454292501292	1595	1595	1.88189260556245e-08	7.42852344300967e-08
PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	dysbiosis	dysbiosis	0.031483152989312	0.0057478936714135	1595	1594	5.01095510168705e-08	1.92729042372579e-07
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	dysbiosis	dysbiosis	-0.0391886585579047	0.00725377800552833	1595	1593	7.56787917308638e-08	2.83795468990739e-07
THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	diagnosis	CD	0.192605954024573	0.0357896935810577	1595	1589	8.48443152818327e-08	3.104060315189e-07
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	diagnosis	CD	-0.0491982966901054	0.00924657024714345	1595	1594	1.18086601753525e-07	4.21737863405447e-07
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	diagnosis	CD	0.0991922639374609	0.0188987634385467	1595	1594	1.73889619713019e-07	6.06591696673322e-07
PWY.6609..adenine.and.adenosine.salvage.III	diagnosis	CD	-0.0579662963470732	0.0115481195928273	1595	1594	5.76118721295728e-07	1.96404109532634e-06
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	diagnosis	CD	0.0768654502845943	0.0157503208441037	1595	1594	1.16578314168671e-06	3.88594380562237e-06
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	diagnosis	CD	0.0810918059250512	0.017353235775325	1595	1593	3.2184838772305e-06	1.04950561214038e-05
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	diagnosis	CD	-0.0426662733130458	0.00929093373051877	1595	1593	4.72999372804667e-06	1.50957246639787e-05
PWY.5686..UMP.biosynthesis	diagnosis	UC	-0.0488878186267209	0.0110055565996557	1595	1594	9.52314650364832e-06	2.9759832823901e-05
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	diagnosis	UC	-0.0445891043244024	0.0101928860319298	1595	1593	1.29600784395364e-05	3.9673709508785e-05
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	dysbiosis	dysbiosis	0.0167183195850518	0.00390492368105598	1595	1594	1.96863820884184e-05	5.79588406904754e-05
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	diagnosis	CD	0.138813107522826	0.0324244898549745	1595	1592	1.97060058347616e-05	5.79588406904754e-05
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	diagnosis	CD	0.133782644450174	0.0319113369480709	1595	1592	2.91306809733446e-05	8.40308105000324e-05
PWY.5667..CDP.diacylglycerol.biosynthesis.I	dysbiosis	dysbiosis	-0.0301208611129429	0.0073658300799809	1595	1592	4.5435603411543e-05	0.000126338142458757
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	dysbiosis	dysbiosis	-0.0301192503289042	0.00736586466765903	1595	1592	4.54817312851524e-05	0.000126338142458757
PWY.6151..S.adenosyl.L.methionine.cycle.I	diagnosis	CD	-0.0845212605647544	0.0208141808307477	1595	1594	5.12932682985752e-05	0.000138132436567961
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	diagnosis	UC	0.077283967589485	0.0190378663408266	1595	1593	5.15694429853722e-05	0.000138132436567961
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	diagnosis	UC	-0.0418481301253143	0.0104078730199753	1595	1594	6.07118941694921e-05	0.000159768142551295
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	diagnosis	CD	-0.0354394940503654	0.00885191131573564	1595	1594	6.52585536643092e-05	0.000168772121545627
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	diagnosis	UC	-0.0390699978224974	0.0100689097991622	1595	1594	0.000108603547785759	0.000276110714709558
PWY.1042..glycolysis.IV..plant.cytosol.	diagnosis	CD	-0.0679245305587875	0.0177169101508073	1595	1593	0.000131053778079791	0.000327634445199477
PANTO.PWY..phosphopantothenate.biosynthesis.I	dysbiosis	dysbiosis	-0.0247414383667827	0.00654331554590484	1595	1594	0.00016185881956526	0.000398013490734245
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	diagnosis	UC	-0.0383110350169718	0.0101442157967155	1595	1594	0.000164809055573002	0.000398731586063714
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	diagnosis	UC	-0.155957699361577	0.0416491245843877	1595	1592	0.000187146533392162	0.000445586984267052
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	dysbiosis	dysbiosis	-0.0207847668682708	0.0057220769156703	1595	1593	0.000289728064262595	0.000679050150615457
PWY.6700..queuosine.biosynthesis	dysbiosis	dysbiosis	-0.0154986068618566	0.00441468101234922	1595	1594	0.00045940049077228	0.00106015497870526
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	diagnosis	CD	0.0824167846721878	0.0237446558933778	1595	1593	0.000532456970755389	0.00121012947898952
PWY.5686..UMP.biosynthesis	dysbiosis	dysbiosis	-0.0142239731989675	0.00412916822742899	1595	1594	0.00058642195289388	0.0013128849691654
PWY.6609..adenine.and.adenosine.salvage.III	diagnosis	UC	-0.0434373528113716	0.0126691966929153	1595	1594	0.000622230035906697	0.00137256625567654
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	dysbiosis	dysbiosis	-0.0204062108665586	0.00611099341109366	1595	1594	0.000859426673039376	0.00186831885443343
PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	dysbiosis	dysbiosis	-0.0449435023019535	0.0136510012337895	1595	1594	0.00101541794902031	0.00217589560504351
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	diagnosis	CD	0.0488868972436742	0.0150552691367431	1595	1593	0.00118989183358007	0.00251385598643678
PWY.1042..glycolysis.IV..plant.cytosol.	diagnosis	UC	-0.0619955892905711	0.0194368457727698	1595	1593	0.00145250163101819	0.00302604506462123
ANAEROFRUCAT.PWY..homolactic.fermentation	diagnosis	CD	0.134338543187765	0.0429004536653129	1595	1588	0.00177140328163224	0.00363986975677857
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	diagnosis	UC	0.0643384876371882	0.0207334319090824	1595	1594	0.00194856990324584	0.00394980385793075
COA.PWY..coenzyme.A.biosynthesis.I	diagnosis	CD	0.051985906907172	0.0169409173458516	1595	1593	0.00218652976191088	0.00437305952382176
PWY.6151..S.adenosyl.L.methionine.cycle.I	dysbiosis	dysbiosis	-0.0261357682445338	0.00856737337991289	1595	1594	0.00232146344401965	0.00458183574477563
TRNA.CHARGING.PWY..tRNA.charging	dysbiosis	dysbiosis	-0.0092811363960381	0.00308905557728477	1595	1593	0.00270154856222436	0.00526275693939811
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	diagnosis	CD	0.0522978179906307	0.017622839628673	1595	1593	0.00304601160050185	0.00585771461634972
PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	diagnosis	UC	-0.0340690932929895	0.0115691664177163	1595	1595	0.00327835879199746	0.00622473188353948
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	diagnosis	UC	0.0501453467243335	0.0172793424199048	1595	1594	0.00375843354672205	0.00704706290010384
PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	dysbiosis	dysbiosis	-0.0258955528878773	0.00907289487029537	1595	1592	0.00437088587155905	0.00809423309547973
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	diagnosis	CD	0.052656351927755	0.0190579012560941	1595	1593	0.00579381316911518	0.0104344871941201
PWY.5667..CDP.diacylglycerol.biosynthesis.I	diagnosis	CD	0.0493239647756638	0.0178950668372577	1595	1592	0.00591287607666806	0.0104344871941201
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	diagnosis	UC	-0.0268382342345229	0.00971124386665977	1595	1594	0.00578220404374648	0.0104344871941201
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	diagnosis	CD	0.0493269346657581	0.0178951508670011	1595	1592	0.00591012362312301	0.0104344871941201
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	diagnosis	UC	-0.0281860559849546	0.0103076467537536	1595	1593	0.0063171886421461	0.0108917045554243
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	diagnosis	UC	-0.0281860559849546	0.0103076467537536	1595	1593	0.0063171886421461	0.0108917045554243
PWY.6700..queuosine.biosynthesis	diagnosis	CD	-0.0284293088209095	0.0107253372564042	1595	1594	0.00811294793124514	0.0138288885191679
PWY.7242..D.fructuronate.degradation	diagnosis	UC	0.143483012894845	0.0637332573137869	1595	1588	0.0245021941379266	0.0412958328167303
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	diagnosis	CD	-0.0208600266283148	0.00939553945827747	1595	1593	0.0265452865296207	0.0437559668070671
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	diagnosis	CD	-0.0208600266283148	0.00939553945827747	1595	1593	0.0265452865296207	0.0437559668070671
PWY.6609..adenine.and.adenosine.salvage.III	dysbiosis	dysbiosis	0.0104399976737312	0.00475334836341407	1595	1594	0.0282110371260339	0.0459962561837508
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	diagnosis	CD	0.0299650864436233	0.0146755004199734	1595	1593	0.0413316052469635	0.0666638794305863
THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	diagnosis	UC	0.0793188464028925	0.039264112560734	1595	1589	0.0435365908030313	0.0694732831963265
PWY.7242..D.fructuronate.degradation	diagnosis	CD	0.116607700776826	0.0580936025653167	1595	1588	0.0448931655263443	0.070883945567912
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	dysbiosis	dysbiosis	-0.0226497095054898	0.0114281294798392	1595	1593	0.0476593396891237	0.0744677182642558
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	diagnosis	UC	-0.0569109001067845	0.0304596274337013	1595	1593	0.0618893972936365	0.0954044592505414
PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	diagnosis	CD	0.0411143639569451	0.0220423303753117	1595	1592	0.0623309133770204	0.0954044592505414
PWY.5097..L.lysine.biosynthesis.VI	diagnosis	CD	-0.017023022932744	0.00923719044675312	1595	1592	0.0655326314781071	0.0992918658759199
PWY.1042..glycolysis.IV..plant.cytosol.	dysbiosis	dysbiosis	0.0127945683146007	0.00729249859192668	1595	1593	0.0795401893971882	0.119310284095782
PWY.2942..L.lysine.biosynthesis.III	diagnosis	CD	0.0222397764569069	0.0128995925049356	1595	1593	0.0848897945619108	0.126073952319669
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	diagnosis	CD	0.0744298838743666	0.0444186685951061	1595	1590	0.0940043996239349	0.138241764152845
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	diagnosis	UC	0.0266868968164266	0.0161001797645987	1595	1593	0.0976049240181374	0.142143093230297
ANAEROFRUCAT.PWY..homolactic.fermentation	diagnosis	UC	0.0726940774718155	0.0470651763979595	1595	1588	0.122656285578907	0.175223265112725
PWY.6168..flavin.biosynthesis.III..fungi.	diagnosis	CD	0.0340471812355264	0.0220271536205094	1595	1593	0.122377996738416	0.175223265112725
PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	diagnosis	UC	0.0550697432497455	0.0363842930211599	1595	1594	0.13033655722629	0.184438524376825
HISTSYN.PWY..L.histidine.biosynthesis	diagnosis	UC	-0.0228511726091125	0.0154642715619348	1595	1593	0.139692621896126	0.195830778359055
HISTSYN.PWY..L.histidine.biosynthesis	diagnosis	CD	0.019858277839029	0.0140958627245124	1595	1593	0.159089159268314	0.220957165650437
