feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium.prausnitzii	dysbiosis	dysbiosis	-2.60114723437856	0.0835445833021301	1595	1534	1.81789022361357e-165	4.5810833635062e-163
Subdoligranulum.unclassified	dysbiosis	dysbiosis	-1.45707046224888	0.0709200182022464	1595	1546	3.59676882522676e-83	4.53192871978572e-81
Bacteroides.uniformis	dysbiosis	dysbiosis	-2.16626520769842	0.113523602870805	1595	1391	2.94083929363957e-73	2.47030500665724e-71
Eubacterium.rectale	dysbiosis	dysbiosis	-2.44774676547332	0.132981918351094	1595	1318	1.10092851714561e-68	6.93584965801735e-67
Ruminococcus.obeum	dysbiosis	dysbiosis	-1.52385310200964	0.0974473112089435	1595	1346	3.26829884304581e-51	1.64722261689509e-49
Alistipes.putredinis	dysbiosis	dysbiosis	-2.00410240703349	0.130208362110732	1595	940	6.49596045882912e-50	2.72830339270823e-48
Bacteroides.vulgatus	dysbiosis	dysbiosis	-1.54286796266385	0.100381707326125	1595	1455	9.09016021616872e-50	3.27245767782074e-48
Alistipes.shahii	dysbiosis	dysbiosis	-1.55995482309516	0.103530848665288	1595	757	5.21558000049333e-48	1.6429077001554e-46
Coprococcus.comes	dysbiosis	dysbiosis	-1.38887418186893	0.0997718643799583	1595	848	1.18552873015073e-41	3.31948044442205e-40
Eubacterium.eligens	dysbiosis	dysbiosis	-1.88042738821026	0.136302109990689	1595	1015	5.62879483640854e-41	1.41845629877495e-39
Eubacterium.ventriosum	dysbiosis	dysbiosis	-1.48714617847788	0.110237660198233	1595	627	2.39563296170156e-39	5.48817733044359e-38
Bacteroides.ovatus	dysbiosis	dysbiosis	-1.36104662838796	0.102479426039426	1595	1319	3.13705493769488e-38	6.58781536915925e-37
Alistipes.onderdonkii	dysbiosis	dysbiosis	-1.48399594857615	0.114030045291422	1595	896	7.69905681004377e-37	1.49243255087002e-35
Odoribacter.splanchnicus	dysbiosis	dysbiosis	-0.553015929181191	0.0427314632385212	1595	662	1.71023593253037e-36	3.07842467855466e-35
Dorea.longicatena	dysbiosis	dysbiosis	-1.38920261750431	0.108151402685899	1595	1063	5.30133972305682e-36	8.90625073473546e-35
