feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroides.uniformis	dysbiosis	dysbiosis	-3.77214256002913	0.262536315773404	1595	1391	4.19520545410985e-44	1.82491437253779e-41
Faecalibacterium.prausnitzii	dysbiosis	dysbiosis	-1.99473610496021	0.159480292886204	1595	1534	2.6374523852481e-34	5.73645893791462e-32
Ruminococcus.callidus	dysbiosis	dysbiosis	-2.13068230812978	0.194503386312658	1595	323	5.67300222933272e-27	8.22585323253245e-25
Alistipes.onderdonkii	dysbiosis	dysbiosis	-3.31465950778763	0.304271810708028	1595	896	1.05684015422042e-26	1.14931366771471e-24
Ruminococcus.obeum	dysbiosis	dysbiosis	-1.91661191727423	0.181404367320688	1595	1346	2.90245905108142e-25	2.52513937444083e-23
Alistipes.putredinis	dysbiosis	dysbiosis	-3.23310084175261	0.310665650069095	1595	940	1.39146395814332e-24	1.00881136965391e-22
Odoribacter.splanchnicus	dysbiosis	dysbiosis	-0.968452209753948	0.0981021825205522	1595	662	2.38660126481928e-22	1.48310221456627e-20
Ruminococcus.callidus	diagnosis	UC	-24.3850062942228	2.52169961714482	1595	323	1.56269773981266e-21	8.49716896023133e-20
Parabacteroides.merdae	dysbiosis	dysbiosis	-3.06321022612086	0.31780863023285	1595	911	2.08960338472582e-21	1.00997496928415e-19
Ruminococcus.gnavus	dysbiosis	dysbiosis	2.43308942311366	0.25531968437732	1595	970	5.66704210449605e-21	2.46516331545578e-19
Bacteroides.caccae	dysbiosis	dysbiosis	-3.17409369164353	0.339693936154461	1595	1072	3.03069298789407e-20	1.19850131793993e-18
Ruminococcus.callidus	UC_dysbiosis	UC_dysbiosis	10.48676255498	1.13733601754283	1595	323	9.10376389172173e-20	3.30011441074913e-18
Ruminococcus.lactaris	dysbiosis	dysbiosis	-2.34897101196624	0.261486058188781	1595	454	7.26538595790258e-19	2.43110991668279e-17
Clostridium.clostridioforme	dysbiosis	dysbiosis	1.93906063377291	0.223169545172893	1595	518	8.94563838479435e-18	2.77953764098967e-16
Eubacterium.hallii	dysbiosis	dysbiosis	-1.94436225815956	0.232332241522101	1595	923	1.25778707488928e-16	3.64176418698069e-15
Sutterella.wadsworthensis	dysbiosis	dysbiosis	-2.61604532616241	0.312881462508138	1595	432	1.33949947107336e-16	3.64176418698069e-15
Clostridium.symbiosum	dysbiosis	dysbiosis	2.14070197096677	0.257357511031096	1595	801	1.89973966493262e-16	4.86109855438641e-15
Coprobacillus.unclassified	dysbiosis	dysbiosis	1.51834688177609	0.183979586762437	1595	415	3.21216458058168e-16	7.76273106973906e-15
Clostridium.nexile	dysbiosis	dysbiosis	1.5704598863923	0.191928547058052	1595	273	5.63435415879394e-16	1.28997055740809e-14
Bacteroides.cellulosilyticus	dysbiosis	dysbiosis	-2.39454900154136	0.292909431511261	1595	526	5.97986044999593e-16	1.30061964787411e-14
Alistipes.shahii	dysbiosis	dysbiosis	-2.2731783531599	0.282298658180808	1595	757	1.57703137739222e-15	3.26670785316961e-14
Bacteroides.finegoldii	dysbiosis	dysbiosis	-2.30293048964489	0.286629433636007	1595	400	1.81429625961583e-15	3.5873585133313e-14
Barnesiella.intestinihominis	dysbiosis	dysbiosis	-2.30906827922249	0.290176666129668	1595	484	3.31036964085438e-15	6.26091649465937e-14
Eubacterium.eligens	dysbiosis	dysbiosis	-2.27968295699559	0.287552573860908	1595	1015	4.16394193913784e-15	7.54714476468733e-14
Bacteroidales.bacterium.ph8	dysbiosis	dysbiosis	-1.80624222530119	0.230421851165677	1595	472	8.26849905663897e-15	1.43871883585518e-13
Dorea.longicatena	dysbiosis	dysbiosis	-1.90822848774608	0.247262595845093	1595	1063	2.08403628787851e-14	3.48675302010443e-13
Bacteroides.vulgatus	dysbiosis	dysbiosis	-2.13792980599188	0.279510018875705	1595	1455	3.49236784376467e-14	5.62659263717642e-13
Eubacterium.ventriosum	dysbiosis	dysbiosis	-1.98565388316469	0.260012384530314	1595	627	3.82332744402335e-14	5.9398122791077e-13
Eubacterium.rectale	dysbiosis	dysbiosis	-2.05361753926806	0.270737576443137	1595	1318	5.61584008961048e-14	8.42376013441572e-13
Ruminococcus.callidus	diagnosis	CD	-14.9857915562261	1.98742456423984	1595	323	7.84100069398799e-14	1.13694510062826e-12
Coprococcus.comes	dysbiosis	dysbiosis	-1.64591995655961	0.221027858169432	1595	848	1.56238177910723e-13	2.19237443197305e-12
Lachnospiraceae.bacterium.3.1.46FAA	dysbiosis	dysbiosis	-1.69800566653242	0.232539905283098	1595	992	4.46392438971892e-13	6.06814721727416e-12
Subdoligranulum.unclassified	dysbiosis	dysbiosis	-0.969157335956948	0.134418813738224	1595	1546	8.62014616269111e-13	1.13629199417292e-11
Ruminococcus.callidus	CD_dysbiosis	CD_dysbiosis	7.2613551522062	1.0402136176445	1595	323	4.30149910179913e-12	5.50338855671359e-11
Alistipes.finegoldii	dysbiosis	dysbiosis	-1.76782657828889	0.253666227483981	1595	788	4.65788073247503e-12	5.78908033893326e-11
Oscillibacter.unclassified	dysbiosis	dysbiosis	-1.64870408088154	0.239560587964507	1595	1296	8.45280283966762e-12	1.0213803431265e-10
Bifidobacterium.adolescentis	dysbiosis	dysbiosis	-1.7806822842927	0.260754444195302	1595	555	1.21367322096229e-11	1.42688608410432e-10
Veillonella.dispar	dysbiosis	dysbiosis	1.4190817410886	0.209003789488239	1595	495	1.58172851731809e-11	1.81066290798255e-10
Ruminococcus.lactaris	diagnosis	CD	-18.0299931213245	2.6718497045355	1595	454	2.09177557505153e-11	2.27480593786854e-10
Escherichia.coli	dysbiosis	dysbiosis	1.61104686131884	0.238724761897238	1595	975	2.08586880774168e-11	2.27480593786854e-10
Parabacteroides.goldsteinii	dysbiosis	dysbiosis	-1.13940289928574	0.170408884059717	1595	187	3.15990318420899e-11	3.35258020763637e-10
Clostridium.bolteae	dysbiosis	dysbiosis	1.78124571676189	0.268259459110226	1595	1138	4.29300406090166e-11	4.44632563450529e-10
Clostridium.hathewayi	dysbiosis	dysbiosis	1.68595353290648	0.255727766709611	1595	757	5.85822069109404e-11	5.92633953633932e-10
Flavonifractor.plautii	dysbiosis	dysbiosis	1.50825977185928	0.231417910781679	1595	1068	9.57465256778735e-11	9.46584969769886e-10
Bacteroides.xylanisolvens	dysbiosis	dysbiosis	-1.70876158455129	0.264245890025617	1595	1072	1.33086522947861e-10	1.28650305516265e-09
Bacteroides.stercoris	dysbiosis	dysbiosis	-2.57296547515066	0.404844850673234	1595	1063	2.7085563641993e-10	2.56135221397108e-09
Faecalibacterium.prausnitzii	CD_dysbiosis	CD_dysbiosis	-5.38206766787693	0.852908402013601	1595	1534	3.60438035645941e-10	3.33596905331882e-09
Bilophila.unclassified	dysbiosis	dysbiosis	-1.49207417171475	0.237124448800285	1595	885	4.03394610932085e-10	3.65576366157202e-09
Parabacteroides.goldsteinii	diagnosis	CD	-10.9290970636167	1.74122830746283	1595	187	4.45218263974019e-10	3.9524478536469e-09
Bifidobacterium.longum	diagnosis	UC	22.1396977671336	3.54676449890045	1595	1002	5.52273955617142e-10	4.80478341386914e-09
Faecalibacterium.prausnitzii	diagnosis	CD	10.0348562577706	1.62956058299525	1595	1534	9.31184159931344e-10	7.94245312882617e-09
Bifidobacterium.adolescentis	diagnosis	CD	-16.349216105509	2.6643741142656	1595	555	1.06479705477895e-09	8.90743690055467e-09
Ruminococcus.lactaris	CD_dysbiosis	CD_dysbiosis	8.53416736898709	1.39844022106082	1595	454	1.30833825272952e-09	1.07382479233461e-08
Bifidobacterium.longum	UC_dysbiosis	UC_dysbiosis	-9.74549808313509	1.59966039686719	1595	1002	1.39421062356162e-09	1.12311411342464e-08
Roseburia.intestinalis	UC_dysbiosis	UC_dysbiosis	11.9811072943718	1.9878110185866	1595	1001	2.06872721207249e-09	1.63617515863915e-08
Roseburia.intestinalis	diagnosis	UC	-26.2603890541343	4.40737144274719	1595	1001	3.13297264721432e-09	2.43364839560398e-08
Flavonifractor.plautii	diagnosis	CD	13.7832089268798	2.36461508054803	1595	1068	6.74191673604599e-09	5.14514698277194e-08
Roseburia.hominis	dysbiosis	dysbiosis	-1.63713646765896	0.285750037914706	1595	1061	1.20438515482629e-08	9.03288866119718e-08
Clostridium.leptum	dysbiosis	dysbiosis	-1.31999025721554	0.230722963268154	1595	812	1.26243110819236e-08	9.30775478074025e-08
Veillonella.parvula	dysbiosis	dysbiosis	1.49994205828728	0.2631411317819	1595	853	1.42438175111908e-08	1.03267676956134e-07
Bacteroides.finegoldii	diagnosis	CD	-16.6588460145529	2.92876328809335	1595	400	1.52713561750998e-08	1.08902294035548e-07
Flavonifractor.plautii	CD_dysbiosis	CD_dysbiosis	-6.89360210443642	1.2376342989473	1595	1068	2.98680811056081e-08	2.09558310982896e-07
Bacteroides.ovatus	dysbiosis	dysbiosis	-1.56211013946187	0.282518070734909	1595	1319	3.75393505060829e-08	2.59200277303906e-07
Ruminococcus.bromii	dysbiosis	dysbiosis	-1.45732862384821	0.271120454149652	1595	512	8.78716383502207e-08	5.97252541911656e-07
Bifidobacterium.adolescentis	CD_dysbiosis	CD_dysbiosis	7.29377291397836	1.39452751366121	1595	555	1.91751630190449e-07	1.28326090973608e-06
Parabacteroides.goldsteinii	CD_dysbiosis	CD_dysbiosis	4.70600530084713	0.911355041817	1595	187	2.72597859202627e-07	1.79666770838095e-06
Sutterella.wadsworthensis	diagnosis	CD	-16.2540634331258	3.19700502943629	1595	432	4.1300959842727e-07	2.68148022859496e-06
Parasutterella.excrementihominis	dysbiosis	dysbiosis	-1.33711019070221	0.263201537580329	1595	759	4.2160889751897e-07	2.69705691795224e-06
Subdoligranulum.unclassified	CD_dysbiosis	CD_dysbiosis	-3.60657354228448	0.718878386484013	1595	1546	5.83917529894026e-07	3.68121921020147e-06
Clostridium.symbiosum	diagnosis	CD	13.1554323396791	2.62966444395286	1595	801	6.28040836517742e-07	3.90282519836025e-06
Bacteroides.finegoldii	CD_dysbiosis	CD_dysbiosis	7.61769403662104	1.532908222002	1595	400	7.43989763473896e-07	4.55824714241049e-06
Collinsella.aerofaciens	diagnosis	UC	14.3960232652533	2.91942880313941	1595	835	9.03233921176078e-07	5.45703827377214e-06
Bacteroides.faecis	diagnosis	CD	14.8336427481342	3.01690196418995	1595	604	9.70500146184313e-07	5.78311730945447e-06
Veillonella.dispar	CD_dysbiosis	CD_dysbiosis	-5.44389632532578	1.11776248263099	1595	495	1.224949019288e-06	7.20071382959841e-06
Collinsella.aerofaciens	dysbiosis	dysbiosis	-1.09050649658794	0.22518097891146	1595	835	1.40485730483741e-06	8.14817236805699e-06
Collinsella.aerofaciens	UC_dysbiosis	UC_dysbiosis	-6.29111938491415	1.31671968615432	1595	835	1.93499907831063e-06	1.10753236719096e-05
Bacteroides.faecis	CD_dysbiosis	CD_dysbiosis	-7.53600522763681	1.57903980997093	1595	604	1.9863742789706e-06	1.1221724822756e-05
Sutterella.wadsworthensis	CD_dysbiosis	CD_dysbiosis	7.93555999035423	1.67330535565237	1595	432	2.3005934481026e-06	1.28302326913414e-05
Eubacterium.siraeum	dysbiosis	dysbiosis	-1.51726252616377	0.321907895688799	1595	656	2.64974742588322e-06	1.45903813956861e-05
Clostridium.symbiosum	diagnosis	UC	15.5213938074265	3.33659145652737	1595	801	3.5621258792678e-06	1.93690594685187e-05
Eubacterium.sp.3.1.31	dysbiosis	dysbiosis	0.71069360624121	0.154285974333161	1595	217	4.42501214366756e-06	2.37639541048813e-05
Clostridium.symbiosum	CD_dysbiosis	CD_dysbiosis	-6.30418958928577	1.37636054905137	1595	801	5.0043746648599e-06	2.65475973074885e-05
Flavonifractor.plautii	diagnosis	UC	13.7197344343592	3.00028944524671	1595	1068	5.18524833663831e-06	2.70406049666562e-05
Haemophilus.parainfluenzae	diagnosis	UC	15.8596320737779	3.47128550618223	1595	887	5.2837963727949e-06	2.70406049666562e-05
Haemophilus.parainfluenzae	UC_dysbiosis	UC_dysbiosis	-7.15484003179823	1.5656178898205	1595	887	5.25471898683227e-06	2.70406049666562e-05
Bacteroides.thetaiotaomicron	dysbiosis	dysbiosis	-1.50134837800246	0.331195402473169	1595	1121	6.2469070328421e-06	3.15977274335618e-05
Flavonifractor.plautii	UC_dysbiosis	UC_dysbiosis	-5.97767847953713	1.35318942269432	1595	1068	1.06612416076692e-05	5.33062080383458e-05
Veillonella.dispar	diagnosis	CD	9.40728226876683	2.13558886106192	1595	495	1.12853200050862e-05	5.57853886615055e-05
Lachnospiraceae.bacterium.3.1.46FAA	diagnosis	UC	-13.2539572679928	3.01483589175495	1595	992	1.17446061542839e-05	5.74034121023988e-05
Bacteroides.intestinalis	diagnosis	CD	7.49932973233818	1.74645061437342	1595	193	1.86065176545414e-05	8.99315019969501e-05
Subdoligranulum.unclassified	diagnosis	CD	5.82826211525618	1.37348381117588	1595	1546	2.32859806952568e-05	0.000111312105521283
Eubacterium.hallii	diagnosis	CD	-9.8678378777721	2.37395766016992	1595	923	3.40083276553656e-05	0.000160800244892218
Lachnospiraceae.bacterium.3.1.46FAA	UC_dysbiosis	UC_dysbiosis	5.60060867751154	1.35975015555425	1595	992	4.00354437439848e-05	0.000187262559447671
Odoribacter.splanchnicus	diagnosis	UC	-5.20250465546556	1.27187624232662	1595	662	4.52163230393136e-05	0.000209245750235122
