feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium.prausnitzii	dysbiosis	dysbiosis	-2.60114723437856	0.0835445833021301	1595	1534	1.81789022361357e-165	4.74469348363142e-163
Subdoligranulum.unclassified	dysbiosis	dysbiosis	-1.45707046224888	0.0709200182022464	1595	1546	3.59676882522676e-83	4.69378331692092e-81
Bacteroides.uniformis	dysbiosis	dysbiosis	-2.16626520769842	0.113523602870805	1595	1391	2.94083929363957e-73	2.55853018546642e-71
Eubacterium.rectale	dysbiosis	dysbiosis	-2.44774676547332	0.132981918351094	1595	1318	1.10092851714561e-68	7.18355857437511e-67
Ruminococcus.obeum	dysbiosis	dysbiosis	-1.52385310200964	0.0974473112089435	1595	1346	3.26829884304581e-51	1.70605199606992e-49
Alistipes.putredinis	dysbiosis	dysbiosis	-2.00410240703349	0.130208362110732	1595	940	6.49596045882912e-50	2.82574279959067e-48
Bacteroides.vulgatus	dysbiosis	dysbiosis	-1.54286796266385	0.100381707326125	1595	1455	9.09016021616872e-50	3.38933116631434e-48
Alistipes.shahii	dysbiosis	dysbiosis	-1.55995482309516	0.103530848665288	1595	757	5.21558000049333e-48	1.70158297516095e-46
Coprococcus.comes	dysbiosis	dysbiosis	-1.38887418186893	0.0997718643799583	1595	848	1.18552873015073e-41	3.43803331743712e-40
Eubacterium.eligens	dysbiosis	dysbiosis	-1.88042738821026	0.136302109990689	1595	1015	5.62879483640854e-41	1.46911545230263e-39
Eubacterium.ventriosum	dysbiosis	dysbiosis	-1.48714617847788	0.110237660198233	1595	627	2.39563296170156e-39	5.68418366367371e-38
Bacteroides.ovatus	dysbiosis	dysbiosis	-1.36104662838796	0.102479426039426	1595	1319	3.13705493769488e-38	6.82309448948637e-37
Alistipes.onderdonkii	dysbiosis	dysbiosis	-1.48399594857615	0.114030045291422	1595	896	7.69905681004377e-37	1.54573371340109e-35
Odoribacter.splanchnicus	dysbiosis	dysbiosis	-0.553015929181191	0.0427314632385212	1595	662	1.71023593253037e-36	3.18836841707447e-35
Dorea.longicatena	dysbiosis	dysbiosis	-1.38920261750431	0.108151402685899	1595	1063	5.30133972305682e-36	9.22433111811887e-35
Oscillibacter.unclassified	dysbiosis	dysbiosis	-1.69292774424941	0.133301178674014	1595	1296	4.89073351655623e-35	7.97800904888235e-34
Roseburia.inulinivorans	dysbiosis	dysbiosis	-1.72298541212684	0.142340586487687	1595	1074	3.0083442228342e-32	4.61869318917487e-31
Clostridium.leptum	dysbiosis	dysbiosis	-1.34608606001494	0.112958125913879	1595	812	2.08741972812321e-31	3.02675860577866e-30
Lachnospiraceae.bacterium.3.1.46FAA	dysbiosis	dysbiosis	-1.26887072628133	0.107490480818969	1595	992	6.91508898755936e-31	9.49914855659471e-30
Parabacteroides.merdae	dysbiosis	dysbiosis	-1.21605295257296	0.104096409645135	1595	911	2.82177931077129e-30	3.68242200055654e-29
